iso2,year,sex,age,cases
SB,2008,m,0-4,0
SC,2008,m,0-4,0
SD,2006,m,0-4,0
SD,2008,m,0-4,40
SE,2005,m,0-4,0
SE,2006,m,0-4,0
SE,2007,m,0-4,0
SE,2008,m,0-4,0
SG,2006,m,0-4,1
SG,2007,m,0-4,0
SG,2008,m,0-4,0
SI,2005,m,0-4,0
SI,2006,m,0-4,0
SI,2007,m,0-4,0
SI,2008,m,0-4,0
SK,2005,m,0-4,0
SK,2006,m,0-4,1
SK,2007,m,0-4,0
SK,2008,m,0-4,0
SL,2007,m,0-4,1
SN,2008,m,0-4,2
SR,2006,m,0-4,1
ST,2006,m,0-4,0
ST,2007,m,0-4,0
SV,2007,m,0-4,0
SV,2008,m,0-4,0
SY,2006,m,0-4,0
SY,2007,m,0-4,0
SY,2008,m,0-4,2
SZ,2008,m,0-4,1
TC,2006,m,0-4,0
TJ,2005,m,0-4,0
TJ,2008,m,0-4,0
TK,2007,m,0-4,0
TM,2005,m,0-4,0
TM,2007,m,0-4,0
TO,2006,m,0-4,0
TO,2007,m,0-4,0
TO,2008,m,0-4,0
TR,2005,m,0-4,1
TR,2006,m,0-4,2
TR,2007,m,0-4,13
TR,2008,m,0-4,7
TT,2007,m,0-4,0
TT,2008,m,0-4,0
TV,2006,m,0-4,7
TV,2008,m,0-4,0
UA,2007,m,0-4,5
UA,2008,m,0-4,1
UG,2008,m,0-4,0
US,2006,m,0-4,4
US,2007,m,0-4,4
US,2008,m,0-4,4
UY,2008,m,0-4,0
UZ,2005,m,0-4,1
UZ,2006,m,0-4,8
UZ,2007,m,0-4,0
UZ,2008,m,0-4,3
VC,2007,m,0-4,0
VE,2006,m,0-4,1
VE,2007,m,0-4,0
VE,2008,m,0-4,0
VU,2008,m,0-4,0
WF,2007,m,0-4,0
WS,2008,m,0-4,0
ZA,2006,m,0-4,655
ZA,2007,m,0-4,340
ZA,2008,m,0-4,344
ZW,2007,m,0-4,6
AD,2005,m,5-14,0
AD,2006,m,5-14,0
AD,2008,m,5-14,0
AE,2006,m,5-14,0
AE,2007,m,5-14,2
AE,2008,m,5-14,0
AG,2007,m,5-14,0
AL,2005,m,5-14,0
AL,2006,m,5-14,4
AL,2007,m,5-14,0
AL,2008,m,5-14,0
AM,2005,m,5-14,2
AM,2006,m,5-14,0
AM,2007,m,5-14,1
AM,2008,m,5-14,0
AN,2006,m,5-14,0
AR,2006,m,5-14,48
AR,2007,m,5-14,63
AR,2008,m,5-14,58
AT,2005,m,5-14,0
AT,2006,m,5-14,1
AU,2006,m,5-14,1
AU,2007,m,5-14,3
AZ,2005,m,5-14,75
AZ,2006,m,5-14,5
BA,2005,m,5-14,1
BA,2006,m,5-14,0
BA,2007,m,5-14,0
BA,2008,m,5-14,0
BB,2007,m,5-14,0
BB,2008,m,5-14,0
BE,2005,m,5-14,0
BE,2006,m,5-14,1
BE,2007,m,5-14,1
BE,2008,m,5-14,1
BF,2007,m,5-14,6
BG,2005,m,5-14,9
BG,2007,m,5-14,5
BG,2008,m,5-14,1
BH,2008,m,5-14,0
BI,2007,m,5-14,0
BN,2007,m,5-14,0
BN,2008,m,5-14,0
BR,2006,m,5-14,207
BR,2007,m,5-14,196
BR,2008,m,5-14,183
BS,2007,m,5-14,0
BS,2008,m,5-14,0
BW,2008,m,5-14,23
BZ,2006,m,5-14,3
BZ,2007,m,5-14,0
BZ,2008,m,5-14,1
CA,2006,m,5-14,1
CA,2007,m,5-14,1
CA,2008,m,5-14,2
CH,2005,m,5-14,1
CH,2006,m,5-14,1
CH,2007,m,5-14,0
CH,2008,m,5-14,0
CK,2006,m,5-14,0
CL,2006,m,5-14,7
CL,2007,m,5-14,3
CL,2008,m,5-14,6
CM,2008,m,5-14,0
CR,2006,m,5-14,1
CR,2007,m,5-14,2
CU,2008,m,5-14,2
CV,2008,m,5-14,0
CY,2005,m,5-14,0
CY,2006,m,5-14,0
CY,2007,m,5-14,0
CY,2008,m,5-14,0
CZ,2005,m,5-14,0
CZ,2006,m,5-14,0
CZ,2007,m,5-14,0
CZ,2008,m,5-14,0
DE,2005,m,5-14,4
DE,2006,m,5-14,2
DE,2007,m,5-14,2
DE,2008,m,5-14,2
DJ,2007,m,5-14,10
DK,2005,m,5-14,0
DK,2006,m,5-14,0
DK,2007,m,5-14,0
DK,2008,m,5-14,0
DM,2006,m,5-14,0
DM,2007,m,5-14,0
DM,2008,m,5-14,0
DO,2008,m,5-14,14
EE,2005,m,5-14,0
EE,2006,m,5-14,0
EE,2007,m,5-14,0
EE,2008,m,5-14,0
EG,2006,m,5-14,35
EG,2008,m,5-14,13
ER,2007,m,5-14,17
ES,2005,m,5-14,7
ES,2006,m,5-14,6
ES,2007,m,5-14,6
ES,2008,m,5-14,9
FI,2005,m,5-14,1
FI,2006,m,5-14,0
FI,2007,m,5-14,0
FI,2008,m,5-14,0
FJ,2006,m,5-14,0
FM,2006,m,5-14,7
FM,2008,m,5-14,0
FR,2005,m,5-14,5
FR,2006,m,5-14,9
FR,2007,m,5-14,9
FR,2008,m,5-14,5
GA,2008,m,5-14,13
GB,2005,m,5-14,5
GB,2006,m,5-14,6
GB,2007,m,5-14,11
GB,2008,m,5-14,4
GD,2006,m,5-14,0
GE,2005,m,5-14,0
GE,2006,m,5-14,3
GE,2007,m,5-14,1
GE,2008,m,5-14,122
GM,2006,m,5-14,0
GM,2008,m,5-14,6
GR,2005,m,5-14,1
GR,2006,m,5-14,0
GR,2007,m,5-14,1
GR,2008,m,5-14,0
GT,2007,m,5-14,115
GT,2008,m,5-14,19
GU,2007,m,5-14,0
GU,2008,m,5-14,0
GY,2008,m,5-14,5
HK,2005,m,5-14,3
HK,2006,m,5-14,3
HK,2007,m,5-14,4
HK,2008,m,5-14,0
HN,2006,m,5-14,16
HN,2007,m,5-14,16
HN,2008,m,5-14,10
HR,2005,m,5-14,1
HR,2006,m,5-14,0
HR,2008,m,5-14,0
HT,2007,m,5-14,78
HT,2008,m,5-14,82
HU,2005,m,5-14,0
HU,2006,m,5-14,2
HU,2007,m,5-14,0
HU,2008,m,5-14,0
ID,2007,m,5-14,636
ID,2008,m,5-14,710
IE,2005,m,5-14,1
IE,2006,m,5-14,0
IE,2007,m,5-14,0
IE,2008,m,5-14,1
IL,2005,m,5-14,0
IL,2006,m,5-14,0
IL,2007,m,5-14,1
IL,2008,m,5-14,0
IQ,2006,m,5-14,14
IQ,2007,m,5-14,20
IQ,2008,m,5-14,16
IR,2006,m,5-14,8
IR,2007,m,5-14,7
IR,2008,m,5-14,11
IS,2005,m,5-14,0
IS,2006,m,5-14,0
IS,2007,m,5-14,0
IS,2008,m,5-14,0
IT,2005,m,5-14,1
IT,2006,m,5-14,1
IT,2007,m,5-14,2
IT,2008,m,5-14,12
JM,2006,m,5-14,0
JM,2008,m,5-14,1
JO,2006,m,5-14,0
JO,2007,m,5-14,0
JO,2008,m,5-14,0
JP,2007,m,5-14,0
JP,2008,m,5-14,2
KE,2007,m,5-14,451
KE,2008,m,5-14,411
KG,2005,m,5-14,1
KI,2007,m,5-14,2
KI,2008,m,5-14,2
KM,2006,m,5-14,0
KM,2008,m,5-14,2
KN,2008,m,5-14,0
KP,2008,m,5-14,430
KR,2006,m,5-14,19
KR,2007,m,5-14,48
KR,2008,m,5-14,18
KW,2007,m,5-14,1
KW,2008,m,5-14,0
KY,2006,m,5-14,0
KY,2007,m,5-14,0
KZ,2005,m,5-14,31
KZ,2007,m,5-14,11
KZ,2008,m,5-14,14
LB,2006,m,5-14,0
LB,2007,m,5-14,0
LB,2008,m,5-14,1
LC,2008,m,5-14,0
LR,2008,m,5-14,104
LS,2007,m,5-14,5
LS,2008,m,5-14,21
LT,2005,m,5-14,0
LT,2006,m,5-14,0
LT,2007,m,5-14,0
LT,2008,m,5-14,0
LU,2005,m,5-14,0
LU,2006,m,5-14,0
LU,2007,m,5-14,0
LU,2008,m,5-14,0
LV,2005,m,5-14,1
LV,2006,m,5-14,2
LV,2008,m,5-14,0
LY,2006,m,5-14,0
LY,2008,m,5-14,1
MA,2006,m,5-14,69
MA,2007,m,5-14,70
MA,2008,m,5-14,46
MD,2005,m,5-14,2
MD,2007,m,5-14,0
MD,2008,m,5-14,1
ME,2005,m,5-14,0
ME,2006,m,5-14,0
ME,2007,m,5-14,0
ME,2008,m,5-14,0
MG,2007,m,5-14,102
MG,2008,m,5-14,121
MH,2007,m,5-14,0
MH,2008,m,5-14,1
MK,2005,m,5-14,2
MK,2006,m,5-14,0
MK,2007,m,5-14,1
MK,2008,m,5-14,1
ML,2008,m,5-14,20
MO,2007,m,5-14,0
MO,2008,m,5-14,1
MP,2007,m,5-14,0
MP,2008,m,5-14,0
MT,2005,m,5-14,0
MT,2006,m,5-14,0
MT,2007,m,5-14,0
MT,2008,m,5-14,0
MU,2007,m,5-14,0
MU,2008,m,5-14,0
MV,2007,m,5-14,0
MV,2008,m,5-14,0
MW,2007,m,5-14,61
MW,2008,m,5-14,55
MX,2006,m,5-14,61
MX,2007,m,5-14,84
MX,2008,m,5-14,62
MY,2007,m,5-14,137
MY,2008,m,5-14,160
NC,2008,m,5-14,0
NE,2008,m,5-14,30
NI,2006,m,5-14,0
NI,2007,m,5-14,0
NL,2005,m,5-14,0
NL,2006,m,5-14,0
NL,2007,m,5-14,0
NL,2008,m,5-14,0
NO,2005,m,5-14,0
NO,2006,m,5-14,0
NO,2008,m,5-14,1
NP,2006,m,5-14,0
NP,2007,m,5-14,0
NR,2006,m,5-14,0
NR,2007,m,5-14,0
NR,2008,m,5-14,0
NU,2006,m,5-14,0
NU,2007,m,5-14,0
NZ,2006,m,5-14,5
NZ,2007,m,5-14,0
NZ,2008,m,5-14,0
OM,2006,m,5-14,6
OM,2008,m,5-14,0
PA,2008,m,5-14,8
PE,2006,m,5-14,364
PE,2007,m,5-14,385
PE,2008,m,5-14,74
PF,2008,m,5-14,1
PL,2005,m,5-14,1
PL,2006,m,5-14,0
PL,2007,m,5-14,2
PL,2008,m,5-14,3
PR,2007,m,5-14,0
PR,2008,m,5-14,0
PS,2006,m,5-14,0
PS,2007,m,5-14,0
PS,2008,m,5-14,0
PT,2005,m,5-14,2
PT,2006,m,5-14,3
PT,2007,m,5-14,3
PT,2008,m,5-14,1
PW,2006,m,5-14,0
PW,2007,m,5-14,0
PY,2006,m,5-14,14
PY,2007,m,5-14,11
PY,2008,m,5-14,8
QA,2007,m,5-14,0
QA,2008,m,5-14,1
RO,2005,m,5-14,26
RO,2006,m,5-14,21
RO,2007,m,5-14,13
RO,2008,m,5-14,14
RS,2005,m,5-14,3
RS,2006,m,5-14,4
RS,2007,m,5-14,0
RS,2008,m,5-14,1
RU,2007,m,5-14,17
RU,2008,m,5-14,11
RW,2007,m,5-14,44
RW,2008,m,5-14,29
SA,2008,m,5-14,12
SB,2007,m,5-14,5
SB,2008,m,5-14,3
SC,2008,m,5-14,0
SD,2006,m,5-14,0
SD,2008,m,5-14,277
SE,2005,m,5-14,0
SE,2006,m,5-14,0
SE,2007,m,5-14,0
SE,2008,m,5-14,0
SG,2006,m,5-14,1
SG,2007,m,5-14,0
SG,2008,m,5-14,0
SI,2005,m,5-14,0
SI,2006,m,5-14,0
SI,2007,m,5-14,0
SI,2008,m,5-14,0
SK,2005,m,5-14,0
SK,2006,m,5-14,3
SK,2007,m,5-14,0
SK,2008,m,5-14,0
SL,2007,m,5-14,44
SN,2008,m,5-14,65
SR,2006,m,5-14,4
ST,2006,m,5-14,0
ST,2007,m,5-14,0
SV,2007,m,5-14,8
SV,2008,m,5-14,8
SY,2006,m,5-14,8
SY,2007,m,5-14,7
SY,2008,m,5-14,16
SZ,2008,m,5-14,28
TC,2006,m,5-14,0
TJ,2005,m,5-14,8
TJ,2008,m,5-14,7
TK,2007,m,5-14,0
TM,2005,m,5-14,2
TM,2007,m,5-14,2
TO,2006,m,5-14,0
TO,2007,m,5-14,0
TO,2008,m,5-14,0
TR,2005,m,5-14,32
TR,2006,m,5-14,38
TR,2007,m,5-14,37
TR,2008,m,5-14,41
TT,2007,m,5-14,1
TT,2008,m,5-14,2
TV,2006,m,5-14,0
TV,2008,m,5-14,2
UA,2007,m,5-14,9
UA,2008,m,5-14,8
UG,2008,m,5-14,269
US,2006,m,5-14,8
US,2007,m,5-14,8
US,2008,m,5-14,7
UY,2008,m,5-14,1
UZ,2005,m,5-14,24
UZ,2006,m,5-14,11
UZ,2007,m,5-14,18
UZ,2008,m,5-14,7
VC,2007,m,5-14,0
VE,2006,m,5-14,9
VE,2007,m,5-14,17
VE,2008,m,5-14,18
VU,2008,m,5-14,1
WF,2007,m,5-14,0
WS,2008,m,5-14,0
ZA,2006,m,5-14,1407
ZA,2007,m,5-14,594
ZA,2008,m,5-14,1519
ZW,2007,m,5-14,132
AD,2005,m,0-14,0
AD,2006,m,0-14,0
AD,2008,m,0-14,0
AE,2006,m,0-14,0
AE,2007,m,0-14,2
AE,2008,m,0-14,0
AG,2007,m,0-14,0
AL,2005,m,0-14,0
AL,2006,m,0-14,5
AL,2007,m,0-14,0
AL,2008,m,0-14,1
AM,2005,m,0-14,3
AM,2006,m,0-14,0
AM,2007,m,0-14,1
AM,2008,m,0-14,0
AN,2006,m,0-14,0
AR,2006,m,0-14,67
AR,2007,m,0-14,77
AR,2008,m,0-14,69
AT,2005,m,0-14,1
AT,2006,m,0-14,1
AU,2006,m,0-14,1
AU,2007,m,0-14,3
AZ,2005,m,0-14,77
AZ,2006,m,0-14,6
BA,2005,m,0-14,1
BA,2006,m,0-14,0
BA,2007,m,0-14,0
BA,2008,m,0-14,0
BB,2007,m,0-14,0
BB,2008,m,0-14,0
BE,2005,m,0-14,1
BE,2006,m,0-14,4
BE,2007,m,0-14,2
BE,2008,m,0-14,3
BF,2007,m,0-14,8
BG,2005,m,0-14,9
BG,2007,m,0-14,7
BG,2008,m,0-14,2
BH,2008,m,0-14,0
BI,2007,m,0-14,26
BN,2007,m,0-14,0
BN,2008,m,0-14,0
BR,2006,m,0-14,343
BR,2007,m,0-14,371
BR,2008,m,0-14,298
BS,2007,m,0-14,0
BS,2008,m,0-14,0
BW,2008,m,0-14,27
BZ,2006,m,0-14,3
BZ,2007,m,0-14,1
BZ,2008,m,0-14,1
CA,2006,m,0-14,2
CA,2007,m,0-14,5
CA,2008,m,0-14,2
CH,2005,m,0-14,1
CH,2006,m,0-14,1
CH,2007,m,0-14,0
CH,2008,m,0-14,0
CK,2006,m,0-14,0
CL,2006,m,0-14,12
CL,2007,m,0-14,3
CL,2008,m,0-14,7
CM,2008,m,0-14,108
CR,2006,m,0-14,1
CR,2007,m,0-14,4
CU,2008,m,0-14,2
CV,2008,m,0-14,0
CY,2005,m,0-14,0
CY,2006,m,0-14,0
CY,2007,m,0-14,0
CY,2008,m,0-14,0
CZ,2005,m,0-14,0
CZ,2006,m,0-14,0
CZ,2007,m,0-14,0
CZ,2008,m,0-14,0
DE,2005,m,0-14,6
DE,2006,m,0-14,2
DE,2007,m,0-14,2
DE,2008,m,0-14,2
DJ,2007,m,0-14,14
DK,2005,m,0-14,0
DK,2006,m,0-14,0
DK,2007,m,0-14,0
DK,2008,m,0-14,0
DM,2006,m,0-14,0
DM,2007,m,0-14,0
DM,2008,m,0-14,0
DO,2008,m,0-14,16
EE,2005,m,0-14,0
EE,2006,m,0-14,0
EE,2007,m,0-14,0
EE,2008,m,0-14,0
EG,2006,m,0-14,54
EG,2008,m,0-14,13
ER,2007,m,0-14,21
ES,2005,m,0-14,13
ES,2006,m,0-14,18
ES,2007,m,0-14,10
ES,2008,m,0-14,18
FI,2005,m,0-14,1
FI,2006,m,0-14,0
FI,2007,m,0-14,0
FI,2008,m,0-14,0
FJ,2006,m,0-14,0
FM,2006,m,0-14,14
FM,2008,m,0-14,1
FR,2005,m,0-14,12
FR,2006,m,0-14,17
FR,2007,m,0-14,17
FR,2008,m,0-14,10
GA,2008,m,0-14,14
GB,2005,m,0-14,9
GB,2006,m,0-14,9
GB,2007,m,0-14,13
GB,2008,m,0-14,5
GD,2006,m,0-14,0
GE,2005,m,0-14,0
GE,2006,m,0-14,3
GE,2007,m,0-14,7
GE,2008,m,0-14,161
GM,2006,m,0-14,13
GM,2008,m,0-14,7
GR,2005,m,0-14,1
GR,2006,m,0-14,0
GR,2007,m,0-14,1
GR,2008,m,0-14,0
GT,2007,m,0-14,74
GT,2008,m,0-14,19
GU,2007,m,0-14,0
GU,2008,m,0-14,0
GY,2008,m,0-14,7
HK,2005,m,0-14,3
HK,2006,m,0-14,3
HK,2007,m,0-14,5
HK,2008,m,0-14,0
HN,2006,m,0-14,21
HN,2007,m,0-14,21
HN,2008,m,0-14,11
HR,2005,m,0-14,1
HR,2006,m,0-14,0
HR,2008,m,0-14,0
HT,2007,m,0-14,104
HT,2008,m,0-14,90
HU,2005,m,0-14,0
HU,2006,m,0-14,2
HU,2007,m,0-14,0
HU,2008,m,0-14,0
ID,2007,m,0-14,849
ID,2008,m,0-14,871
IE,2005,m,0-14,1
IE,2006,m,0-14,0
IE,2007,m,0-14,0
IE,2008,m,0-14,2
IL,2005,m,0-14,0
IL,2006,m,0-14,0
IL,2007,m,0-14,1
IL,2008,m,0-14,0
IQ,2006,m,0-14,14
IQ,2007,m,0-14,20
IQ,2008,m,0-14,18
IR,2006,m,0-14,12
IR,2007,m,0-14,10
IR,2008,m,0-14,11
IS,2005,m,0-14,0
IS,2006,m,0-14,0
IS,2007,m,0-14,0
IS,2008,m,0-14,0
IT,2005,m,0-14,8
IT,2006,m,0-14,7
IT,2007,m,0-14,3
IT,2008,m,0-14,13
JM,2006,m,0-14,0
JM,2008,m,0-14,3
JO,2006,m,0-14,0
JO,2007,m,0-14,0
JO,2008,m,0-14,0
JP,2007,m,0-14,1
JP,2008,m,0-14,2
KE,2007,m,0-14,474
KE,2008,m,0-14,451
KG,2005,m,0-14,1
KI,2007,m,0-14,2
KI,2008,m,0-14,2
KM,2006,m,0-14,0
KM,2008,m,0-14,2
KN,2008,m,0-14,0
KP,2008,m,0-14,441
KR,2006,m,0-14,19
KR,2007,m,0-14,16
KR,2008,m,0-14,21
KW,2007,m,0-14,1
KW,2008,m,0-14,0
KY,2006,m,0-14,0
KY,2007,m,0-14,0
KZ,2005,m,0-14,31
KZ,2007,m,0-14,14
KZ,2008,m,0-14,14
LB,2006,m,0-14,0
LB,2007,m,0-14,0
LB,2008,m,0-14,1
LC,2008,m,0-14,0
LR,2008,m,0-14,107
LS,2007,m,0-14,6
LS,2008,m,0-14,21
LT,2005,m,0-14,0
LT,2006,m,0-14,0
LT,2007,m,0-14,0
LT,2008,m,0-14,0
LU,2005,m,0-14,0
LU,2006,m,0-14,0
LU,2007,m,0-14,0
LU,2008,m,0-14,0
LV,2005,m,0-14,1
LV,2006,m,0-14,2
LV,2008,m,0-14,0
LY,2006,m,0-14,1
LY,2008,m,0-14,2
